home_team,away_team,outcome,pts_for,pts_against
san-diego-state,nevada,W,23,21
nevada,western-michigan,L,24,52
arizona,san-diego-state,L,14,38
san-diego-state,utah,W,33,31
san-diego-state,towson,W,48,21
san-diego-state,fresno-state,L,20,30
hawaii,san-diego-state,L,10,17
nevada-las-vegas,san-diego-state,L,20,28
san-diego-state,utsa,W,38,24
ucla,hawaii,W,44,10
hawaii,portland-state,W,49,35
oregon-state,hawaii,W,45,27
hawaii,fresno-state,W,27,24
nevada-las-vegas,hawaii,W,27,13
oregon,fresno-state,W,31,24
fresno-state,cal-poly,W,63,10
ucla,fresno-state,L,37,40
fresno-state,nevada-las-vegas,W,38,30
fresno-state,utep,W,31,24
nevada-las-vegas,eastern-washington,L,33,35
arizona-state,nevada-las-vegas,W,37,10
oregon,stony-brook,W,7,48
oregon,arizona,W,41,19
stanford,oregon,W,31,24
oregon,california,W,24,17
ucla,oregon,L,31,34
oregon,colorado,W,52,29
washington,oregon,L,16,26
oregon,washington-state,W,38,24
utah,oregon,W,7,38
oregon,oregon-state,W,38,29
oregon,utah,L,10,38
oregon,oklahoma,L,32,47
washington,montana,L,13,7
washington,arkansas-state,W,52,3
washington,california,W,31,24
oregon-state,washington,W,27,24
washington,ucla,L,17,24
arizona,washington,L,16,21
stanford,washington,L,13,20
washington,arizona-state,L,30,35
colorado,washington,W,20,17
washington,washington-state,L,13,40
stanford,kansas-state,L,24,7
usc,stanford,L,28,42
vanderbilt,stanford,L,23,41
stanford,ucla,L,24,35
arizona-state,stanford,W,28,10
washington-state,stanford,W,34,31
stanford,utah,L,52,7
oregon-state,stanford,W,35,14
stanford,california,L,11,41
oregon-state,idaho,W,42,0
usc,oregon-state,L,27,45
washington-state,oregon-state,W,31,24
oregon-state,utah,W,42,34
california,oregon-state,W,39,25
colorado,oregon-state,W,37,34
oregon-state,arizona-state,W,24,10
oregon-state,utah-state,L,13,24
california,sacramento-state,W,42,30
california,washington-state,L,21,6
california,colorado,W,3,26
arizona,california,W,3,10
ucla,california,W,42,14
california,usc,W,24,14
washington-state,portland-state,W,44,24
washington-state,usc,L,14,45
utah,washington-state,W,24,13
arizona-state,washington-state,L,21,34
washington-state,arizona,W,44,18
washington-state,central-michigan,L,21,24
colorado,usc,L,14,37
usc,utah,L,26,42
usc,arizona,W,41,34
arizona-state,usc,W,31,16
usc,ucla,L,33,62
colorado,northern-colorado,W,7,35
colorado,texas-a&m,L,10,7
arizona-state,colorado,W,35,13
colorado,arizona,W,34,0
ucla,colorado,W,44,20
utah,colorado,W,28,13
utah,weber-state,W,40,17
utah,arizona-state,W,35,21
utah,ucla,W,44,24
arizona,utah,L,29,38
utah,oregon,W,38,10
utah,ohio-state,L,45,48
arizona-state,southern-utah,W,41,14
ucla,arizona-state,L,23,42
arizona-state,arizona,W,38,15
arizona-state,wisconsin,L,13,20
ucla,lsu,W,38,27
arizona,ucla,L,16,34
arizona,byu,L,16,24
arizona,northern-arizona,L,19,21
florida,alabama,L,29,31
florida,tennessee,W,38,14
kentucky,florida,W,20,13
florida,vanderbilt,W,42,0
lsu,florida,W,49,42
florida,georgia,L,34,7
south-carolina,florida,W,40,17
florida,samford,W,70,52
missouri,florida,W,24,23
florida,ucf,L,17,29
georgia,clemson,W,3,10
georgia,south-carolina,W,40,13
vanderbilt,georgia,L,0,62
georgia,arkansas,W,37,0
auburn,georgia,L,10,34
georgia,kentucky,W,30,13
georgia,florida,W,7,34
georgia,missouri,W,6,43
tennessee,georgia,L,17,41
georgia,charleston-southern,W,7,56
georgia,alabama,L,24,41
georgia,michigan,W,34,11
georgia,alabama,W,33,18
kentucky,missouri,W,35,28
missouri,southeast-missouri-state,W,59,28
missouri,tennessee,L,24,62
missouri,texas-a&m,L,14,35
vanderbilt,missouri,L,28,37
missouri,south-carolina,W,31,28
arkansas,missouri,W,34,17
missouri,army,L,22,24
kentucky,louisiana-monroe,W,45,10
kentucky,chattanooga,W,28,23
south-carolina,kentucky,L,10,16
kentucky,lsu,W,42,21
mississippi-state,kentucky,W,31,17
kentucky,tennessee,L,42,45
vanderbilt,kentucky,L,17,34
kentucky,iowa,W,20,17
tennessee,tennessee-tech,W,56,0
tennessee,south-carolina,W,45,20
tennessee,ole-miss,L,26,31
alabama,tennessee,W,52,24
tennessee,south-alabama,W,60,14
tennessee,vanderbilt,W,45,21
tennessee,purdue,L,45,48
south-carolina,eastern-illinois,W,46,0
south-carolina,troy,W,23,14
south-carolina,vanderbilt,W,21,20
texas-a&m,south-carolina,W,44,14
south-carolina,auburn,W,21,17
south-carolina,north-carolina,W,38,21
vanderbilt,east-tennessee-state,L,23,3
vanderbilt,mississippi-state,L,45,6
ole-miss,vanderbilt,W,31,17
alabama,miami-(fl),W,44,13
alabama,mercer,W,48,14
